gis_id,srtu_id,srtu_name,state,average_fleet_held_val_2013-14,average_fleet_held_val_2012-13,average_fleet_operated_val_2013-14,average_fleet_operated_val_2012-13,fleet_utilisation_perc_2013-14,fleet_utilisation_perc_2012-13,avg_age_of_fleet_val_2013-14,avg_age_of_fleet_val_2012-13,over_aged_vehicles_perc_2013-14,over_aged_vehicles_perc_2012-13,number_of_accidents_2013-14,number_of_accidents_2012-13,number_of_fatal_accidents_2013-14,number_of_fatal_accidents_2012-1_3,revenue_earning_kilometres_2013-14,revenue_earning_kilometres_2012-13,number_of_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_accidents_per_lakh_reveue_earning_kilometres_2012-13,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_fatal_accidents_per_lakh_reveue_earni_ng_kilometres_2012-13,staff_strength_2013-14,staff_strength_2012-13,staff_bus_ratio_2013-14,staff_bus_ratio_2012-13,staff_productivity_2013-14,staff_productivity_2012-13,vehicle_productivity_2013-14,vehicle_productivity_2012-13,fuel_efficiency_2013-14,fuel_efficiency_2012-13,passenger_kilometres_offered_2013-14,passenger_kilometres_offered_2012-13,passenger_kms_p_erformed_2013-14,passenger_kms_performed_2012-13,occupancy_ratio_2013-14,occupancy_ratio_2012-13,passenger_carried_2013-14,passenger_carried_2012-13,passengers_carried_per_bus_per_day_2013-14,passengers_carried_per_bus_per_day_2012-13,total_revenue_2013-14,total_reven_ue_2012-13,total_cost_2013-14,total_cost_2012-13,net_profit_loss_2013-14,net_profit_loss_2012-13,revenue_per_km_2013-14,revenue_per_km_2012-13,cost_per_km_2013-14,cost_per_km_2012-13,profit_loss_per_km_2013-14,profit_loss_per_km_2012-13,revenue_per_bus_per_day_2013-14,revenue_per_bus_per_day_2012-13,cost_per_bus_per_day_2013-14,cost_per_bus_per_day_2012-13,profit_loss_per_bus_per_day_2013-14,profit_loss_per_bus_per_day_2012-13,staff_costs_2013-14,staff_costs_2012-13,fuel_lubricant_costs_2013-14,fuel_lubricant_costs_201_2-13,cost_of_tyres_tubes_2013-14,cost_of_tyres_tubes_2012-13,cost_of_spares_2013-14,cost_of_spares_2012-13,interest_2013-14,interest_2012-13,depreciation_2013-14,depreciation_2012-13,taxes_2013-14,taxes_2012-13,other_cost_2013-14,other_cost_2012-13,profit_before_tax_2013-14,profit_before_tax_2012-13,staff_cost_as_percent_of_total_cost_2013-14,staff_cost_as_percent_of_total_cost_2012-13,fuel_lubricant_cost_as_percent_of_total_cost_2013-14,fuel_lubricant_cost_as_percent_of_total_cost_2012-13,tyres_tubes_cost_as_percent_of_total_cost_2013-14,tyres_tubes_cost_as_percent_of_total_cost_2012-13,spares_cost_as_percent_of_total_cost_2013-14,spares_cost_as_percent_of_total_cost_2012-13,interest_cost_as_percent_of_total_cost_2013-14,interest_cost_as_percent_of_total_cost_2012-13,depreciation_cost_as_percent_of_total_cost_2013-14,depreciation_cost_as_percent_of_total_cost_2012-13,tax_cost_as_percent_of_total_cost_2013-14,tax_cost_as_percent_of_total_cost_2012-13,other_costs_as_percent_of_total_cost_2013-14,other_costs_as_percent_of_total_cost_2012-13,staff_cost_per_revenue_earning_km_2013-14,staff_cost_per_revenue_earning_km_2012-13,fuel_lubricant_cost_per_revenue_earning_km_2013-14,fuel_lubricant_cost_per_revenue_earning_km_2012-13,tyres_tubes_cost_per_revenue_earning_km_2013-14,tyres_tubes_cost_per_revenue_earning_km_2012-13,spares_cost_per_revenue_earning_km_2013-14,spares_cost_per_revenue_e_arning_km_2012-13,interest_cost_per_revenue_earning_km_2013-14,interest_cost_per_revenue_earning_km_2012-13,depreciation_cost_per_revenue_earning_km_2013-14,deprecia_tion_cost_per_revenue_earning_km_2012-13,tax_cost_per_revenue_earning_km_2013-14,tax_cost_per_revenue_earning_km_2012-13,other_costs_per_revenue_earning_km_2013-14,other_costs_per_revenue_earning_km_2012-13
G14,13,Himachal RTC,Himachal Pradesh,2162,2076,2144,2013,99.2,97,NaN,NaN,20,23,100,97,24,15,1691.3,1638.9,0.06,0.06,0.01,0.01,8777,8419,4.06,4.06,52.79,53.33,214.33,216.29,3.58,3.61,74418.5,72110.7,74418.5,72110.7,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G15,14,J&K SRTC,Jammu & Kashmir,694,704,315,329,45.4,46.7,10.3,9,53,50,32,20,6,5,201.5,207.1,0.16,0.1,0.03,0.02,2235,2207,3.22,3.13,24.7,25.71,79.55,80.59,4.28,4.24,8463.4,8697.8,6435.9,6929,76,79.7,51.8,50.7,20.4,19.7,5784.89,5453.78,10183.98,8234.63,-4399.09,-2780.85,2870.77,2633.53,5053.83,3976.35,-2183.06,-1342.82,2283.72,1622.52,4020.36,3204.63,-1736.64,-1082.21,5507.54,4169.22,2764.7,2251.38,235.77,229.24,225.69,203.86,NaN,NaN,491.96,456.29,756.64,729.3,201.68,195.34,-3642.45,-2051.55,54.08,50.63,27.15,27.34,2.32,2.78,2.22,2.48,NaN,NaN,4.83,5.54,7.43,8.86,1.98,2.37,27.33,20.13,13.72,10.87,1.17,1.11,1.12,0.98,NaN,NaN,2.44,2.2,3.75,3.52,1,0.94
G17,6,Bangalore Metropolitan TC,Karnataka,6603,6328,6022,5745,91.2,90.8,5.3,4.6,4.6,5.1,370,384,80,88,4795.9,4638.4,0.08,0.08,0.02,0.02,36076,34278,5.46,5.42,36.42,37.07,198.99,200.82,3.82,3.84,303675.2,302751.4,198796.6,214586.1,65.5,70.9,17938,17111.7,744.3,740.9,201394.23,166045.58,215146.98,180841.03,-13752.75,-14795.45,4199.3,3579.82,4486.06,3898.8,-286.76,-318.98,8356.28,7188.99,8926.91,7829.57,-570.63,-640.57,90245.67,75799.7,76621.97,61794.82,3515.13,3685.7,5899.59,6112.66,5972.88,3230.17,13614.62,12742.02,9798.93,8413.81,9478.19,9062.15,-3953.82,-6381.64,41.95,41.92,35.61,34.17,1.63,2.04,2.74,3.38,2.78,1.79,6.33,7.05,4.55,4.65,4.41,5.01,18.82,16.34,15.98,13.32,0.73,0.79,1.23,1.32,1.25,0.7,2.84,2.75,2.04,1.81,1.98,1.95
G17,16,Karnataka SRTC,Karnataka,8255,7831,7532,7184,91.2,91.7,3.8,3.6,22.8,11.6,1266,1170,303,269,9882.3,9415.6,0.13,0.12,0.03,0.03,38776,36249,4.7,4.63,69.82,71.16,327.98,329.41,4.76,4.8,514568.8,489613.3,354624.8,368678.8,68.9,75.3,9565.5,9390.9,317.5,328.5,296626.35,259233,304182.14,259058.8,-7555.79,174.2,3001.61,2753.22,3078.07,2751.37,-76.46,1.85,9844.64,9069.43,10095.41,9063.34,-250.77,6.09,98128.66,87540.78,125105.84,101254.3,9434.19,9686.82,8829.02,8055.31,3022.22,2256.68,20916.15,19566.89,14542.09,12813.47,24203.97,18456.81,6986.3,12987.67,32.26,33.79,41.13,39.09,3.1,3.74,2.9,3.11,0.99,0.87,6.88,7.55,4.78,4.95,7.96,7.12,9.93,9.3,12.66,10.75,0.95,1.03,0.89,0.86,0.31,0.24,2.12,2.08,1.47,1.36,2.45,1.96
G17,25,North Eastern Karnataka RTC,Karnataka,4247,4058,3794,3631,89.3,89.5,5.3,5.1,17.5,12.3,479,431,121,126,4576.2,4488.4,0.1,0.1,0.03,0.03,19128,18455,4.5,4.55,65.54,66.63,295.21,303.03,5.14,5.22,247112.6,237887.5,153731.8,154907.6,62.2,65.1,4872.8,4836.3,314.3,326.5,131070.19,113340.6,134941.85,115433.25,-3871.66,-2092.65,2864.2,2525.17,2948.8,2571.79,-84.6,-46.62,8455.3,7652.1,8705.06,7793.38,-249.76,-141.28,48159.18,42523.39,54121.09,44475.86,5621.67,5098.52,3084.75,2455.86,1603.75,1535.25,7487.52,7806.32,6200.28,5343.28,8663.61,6194.77,2328.62,3250.63,35.69,36.84,40.11,38.53,4.17,4.42,2.29,2.13,1.19,1.33,5.55,6.76,4.59,4.63,6.42,5.37,10.52,9.47,11.83,9.91,1.23,1.14,0.67,0.55,0.35,0.34,1.64,1.74,1.35,1.19,1.89,1.38
G17,26,North Western Karnataka RTC,Karnataka,4615,4523,4385,4210,95,93.1,NaN,NaN,26.5,21.1,NaN,NaN,NaN,NaN,5503.2,5272.6,NaN,NaN,NaN,NaN,22508,22262,4.88,4.92,66.99,64.89,326.7,319.38,5.1,5.09,280663,263630,172959,171826,61.6,65.2,8395,8212.5,498.4,497.5,154459.77,131400,160339,137731.33,-5879.23,-6331.33,2806.73,2492.13,2913.56,2612.21,-106.83,-120.08,9169.61,7959.32,9518.63,8342.83,-349.02,-383.51,56733.76,51710.09,63499.3,52075.91,4721.21,4387.47,2947.78,4176.93,3106.41,3345.63,9757.04,9749.07,7036.89,5877.8,12536.61,6408.43,1157.66,-453.53,35.38,37.54,39.6,37.81,2.94,3.19,1.84,3.03,1.94,2.43,6.09,7.08,4.39,4.27,7.82,4.65,10.31,9.81,11.54,9.88,0.86,0.83,0.54,0.79,0.56,0.63,1.77,1.85,1.28,1.11,2.28,1.22
G18,17,Kerala SRTC,Kerala,5830,5847,4704,4772,80.7,81.6,6.7,6.5,25,23.6,1037,1086,182,154,5552.3,5554.9,0.19,0.2,0.03,0.03,42240,39712,7.25,6.79,36.01,38.32,260.92,260.29,4.21,4.25,6907.1,6786,NaN,NaN,NaN,NaN,11634.3,12156.3,546.7,569.6,169058,161701.72,227706,216788.28,-58648,-55086.56,3044.83,2910.97,4101.11,3902.65,-1056.28,-991.68,7944.64,7576.85,10700.72,10158.04,-2756.08,-2581.19,66978,57978.23,72000,70216.03,4845,4807.87,4537,4190.1,22846,25222.28,6700,6610.21,27000,26956.66,22800,20806.9,-31648,-28129.9,29.41,26.74,31.62,32.39,2.13,2.22,1.99,1.93,10.03,11.63,2.94,3.05,11.86,12.43,10.01,9.6,12.06,10.44,12.97,12.64,0.87,0.87,0.82,0.75,4.11,4.54,1.21,1.19,4.86,4.85,4.11,3.75
G21,5,BEST Undertaking,Maharashtra,4314,4484,3753,3799,87,84.7,7.6,6.6,0,0,700,770,31,30,2550.8,2652,0.27,0.29,0.01,0.01,36494,36620,8.46,8.17,19.15,19.84,161.99,162.04,2.84,2.87,168352,175032,98432,114458,58.5,65.4,13068,14096,829.9,861.3,143510.38,142568.38,218435.18,205611.6,-74924.8,-63043.22,5626.14,5375.88,8563.47,7753.08,-2937.33,-2377.2,9114.03,8710.93,13872.34,12562.88,-4758.31,-3851.94,138497.95,121381.37,43879.13,38846.45,2615.46,2620.02,7654.12,7146.35,11542.91,16118.52,3736.16,6749.1,2483.58,2616.08,8025.87,10133.71,-72441.22,-60427.14,63.4,59.03,20.09,18.89,1.2,1.27,3.5,3.48,5.28,7.84,1.71,3.28,1.14,1.27,3.67,4.93,54.3,45.77,17.2,14.65,1.03,0.99,3,2.69,4.53,6.08,1.46,2.54,0.97,0.99,3.15,3.82
G21,18,Maharashtra SRTC,Maharashtra,18055,17497,16523,16215,91.5,92.7,3.9,3.1,0,6.7,3154,3078,387,369,20466,19931,0.15,0.15,0.02,0.02,107885,100052,5.98,5.72,51.97,54.58,310.56,312.08,4.77,4.87,906642,886740,528386,536151,58.3,60.5,25630,26064,388.9,408.1,673626,609579,732321,652462,-58695,-42883,3291.44,3058.45,3578.23,3273.6,-286.79,-215.16,10221.83,9544.95,11112.48,10216.42,-890.66,-671.47,280125,263343,256529,205589,18994,16981,13906,13663,134,250,40793,36457,99735,90682,22105,25497,41040,47799,38.25,40.36,35.03,31.51,2.59,2.6,1.9,2.09,0.02,0.04,5.57,5.59,13.62,13.9,3.02,3.91,13.69,13.21,12.53,10.32,0.93,0.85,0.68,0.69,0.01,0.01,1.99,1.83,4.87,4.55,1.08,1.28
G21,23,Navi Mumbai MT,Maharashtra,356,336,222,224,62.4,66.7,5.3,5.86,17.1,12.2,272,346,0,5,231.61,255.68,1.17,1.35,0,0.02,2116,2649,5.94,7.88,29.99,26.44,178.24,208.48,2.81,2.95,NaN,NaN,NaN,NaN,NaN,NaN,746.05,857.54,574.1,699.2,8998.75,10103.96,12644.86,11740.99,-3646.11,-1637.03,3885.3,3951.8,5459.55,4592.06,-1574.25,-640.27,6925.31,8238.71,9731.31,9573.54,-2806,-1334.83,4894.23,4562.82,3809.79,3620.8,257.94,246.81,2286.91,1821.53,137.64,142.23,1028.73,1028.73,229.62,318.07,NaN,NaN,-3416.49,-1318.96,38.71,38.86,30.13,30.84,2.04,2.1,18.09,15.51,1.09,1.21,8.14,8.76,1.82,2.71,NaN,NaN,21.13,17.85,16.45,14.16,1.11,0.97,9.87,7.12,0.59,0.56,4.44,4.02,0.99,1.24,NaN,NaN
