state,gis_id,average_fleet_held_val_2013-14,average_fleet_held_val_2012-13,average_fleet_operated_val_2013-14,average_fleet_operated_val_2012-13,fleet_utilisation_perc_2013-14,fleet_utilisation_perc_2012-13,avg_age_of_fleet_val_2013-14,avg_age_of_fleet_val_2012-13,over_aged_vehicles_perc_2013-14,over_aged_vehicles_perc_2012-13,number_of_accidents_2013-14,number_of_accidents_2012-13,number_of_fatal_accidents_2013-14,number_of_fatal_accidents_2012-1_3,revenue_earning_kilometres_2013-14,revenue_earning_kilometres_2012-13,number_of_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_accidents_per_lakh_reveue_earning_kilometres_2012-13,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_fatal_accidents_per_lakh_reveue_earni_ng_kilometres_2012-13,staff_strength_2013-14,staff_strength_2012-13,staff_bus_ratio_2013-14,staff_bus_ratio_2012-13,staff_productivity_2013-14,staff_productivity_2012-13,vehicle_productivity_2013-14,vehicle_productivity_2012-13,fuel_efficiency_2013-14,fuel_efficiency_2012-13,passenger_kilometres_offered_2013-14,passenger_kilometres_offered_2012-13,passenger_kms_p_erformed_2013-14,passenger_kms_performed_2012-13,occupancy_ratio_2013-14,occupancy_ratio_2012-13,passenger_carried_2013-14,passenger_carried_2012-13,passengers_carried_per_bus_per_day_2013-14,passengers_carried_per_bus_per_day_2012-13,total_revenue_2013-14,total_reven_ue_2012-13,total_cost_2013-14,total_cost_2012-13,net_profit_loss_2013-14,net_profit_loss_2012-13,revenue_per_km_2013-14,revenue_per_km_2012-13,cost_per_km_2013-14,cost_per_km_2012-13,profit_loss_per_km_2013-14,profit_loss_per_km_2012-13,revenue_per_bus_per_day_2013-14,revenue_per_bus_per_day_2012-13,cost_per_bus_per_day_2013-14,cost_per_bus_per_day_2012-13,profit_loss_per_bus_per_day_2013-14,profit_loss_per_bus_per_day_2012-13,staff_costs_2013-14,staff_costs_2012-13,fuel_lubricant_costs_2013-14,fuel_lubricant_costs_201_2-13,cost_of_tyres_tubes_2013-14,cost_of_tyres_tubes_2012-13,cost_of_spares_2013-14,cost_of_spares_2012-13,interest_2013-14,interest_2012-13,depreciation_2013-14,depreciation_2012-13,taxes_2013-14,taxes_2012-13,other_cost_2013-14,other_cost_2012-13,profit_before_tax_2013-14,profit_before_tax_2012-13,staff_cost_as_percent_of_total_cost_2013-14,staff_cost_as_percent_of_total_cost_2012-13,fuel_lubricant_cost_as_percent_of_total_cost_2013-14,fuel_lubricant_cost_as_percent_of_total_cost_2012-13,tyres_tubes_cost_as_percent_of_total_cost_2013-14,tyres_tubes_cost_as_percent_of_total_cost_2012-13,spares_cost_as_percent_of_total_cost_2013-14,spares_cost_as_percent_of_total_cost_2012-13,interest_cost_as_percent_of_total_cost_2013-14,interest_cost_as_percent_of_total_cost_2012-13,depreciation_cost_as_percent_of_total_cost_2013-14,depreciation_cost_as_percent_of_total_cost_2012-13,tax_cost_as_percent_of_total_cost_2013-14,tax_cost_as_percent_of_total_cost_2012-13,other_costs_as_percent_of_total_cost_2013-14,other_costs_as_percent_of_total_cost_2012-13,staff_cost_per_revenue_earning_km_2013-14,staff_cost_per_revenue_earning_km_2012-13,fuel_lubricant_cost_per_revenue_earning_km_2013-14,fuel_lubricant_cost_per_revenue_earning_km_2012-13,tyres_tubes_cost_per_revenue_earning_km_2013-14,tyres_tubes_cost_per_revenue_earning_km_2012-13,spares_cost_per_revenue_earning_km_2013-14,spares_cost_per_revenue_e_arning_km_2012-13,interest_cost_per_revenue_earning_km_2013-14,interest_cost_per_revenue_earning_km_2012-13,depreciation_cost_per_revenue_earning_km_2013-14,deprecia_tion_cost_per_revenue_earning_km_2012-13,tax_cost_per_revenue_earning_km_2013-14,tax_cost_per_revenue_earning_km_2012-13,other_costs_per_revenue_earning_km_2013-14,other_costs_per_revenue_earning_km_2012-13
Jammu & Kashmir,15,694,704,315,329,45.4,46.7,10.3,9,53,50,32,20,6,5,201.5,207.1,0.16,0.1,0.03,0.02,2235,2207,3.22,3.13,24.7,25.71,79.55,80.59,4.28,4.24,8463.4,8697.8,6435.9,6929,76,79.7,51.8,50.7,20.4,19.7,5784.89,5453.78,10183.98,8234.63,-4399.09,-2780.85,2870.77,2633.53,5053.83,3976.35,-2183.06,-1342.82,2283.72,1622.52,4020.36,3204.63,-1736.64,-1082.21,5507.54,4169.22,2764.7,2251.38,235.77,229.24,225.69,203.86,NaN,NaN,491.96,456.29,756.64,729.3,201.68,195.34,-3642.45,-2051.55,54.08,50.63,27.15,27.34,2.32,2.78,2.22,2.48,NaN,NaN,4.83,5.54,7.43,8.86,1.98,2.37,27.33,20.13,13.72,10.87,1.17,1.11,1.12,0.98,NaN,NaN,2.44,2.2,3.75,3.52,1,0.94
Karnataka,17,23720,22740,21733,20770,366.7,365.1,14.399999999999999,13.299999999999999,71.4,50.1,2115,1985,504,483,24757.6,23815.0,0.31000000000000005,0.30000000000000004,0.08,0.08,116488,111244,19.54,19.520000000000003,238.76999999999998,239.75,1148.88,1152.6399999999999,18.82,18.95,1346019.6,1293882.2,880112.2,909998.5,258.20000000000005,276.5,40771.3,39551.399999999994,1874.5,1893.4,783550.54,670019.1799999999,814609.97,693064.4099999999,-31059.43,-23045.230000000003,12871.84,11350.34,13426.49,11834.169999999998,-554.65,-483.83,35825.83,31869.84,37246.009999999995,33029.12,-1420.1799999999998,-1159.27,293267.27,257573.96,319348.2,259600.88999999998,23292.199999999997,22858.510000000002,20761.14,20800.760000000002,13705.26,10367.73,51775.33000000001,49864.299999999996,37578.19,32448.359999999997,54882.380000000005,40122.159999999996,6518.76,9403.13,145.28,150.09,156.45000000000002,149.60000000000002,11.84,13.389999999999999,9.770000000000001,11.65,6.899999999999999,6.42,24.85,28.439999999999998,18.31,18.5,26.61,22.15,49.58,44.92,52.01,43.86000000000001,3.77,3.79,3.33,3.5200000000000005,2.47,1.9100000000000001,8.37,8.42,6.14,5.47,8.6,6.51
Kerala,18,5830,5847,4704,4772,80.7,81.6,6.7,6.5,25,23.6,1037,1086,182,154,5552.3,5554.9,0.19,0.2,0.03,0.03,42240,39712,7.25,6.79,36.01,38.32,260.92,260.29,4.21,4.25,6907.1,6786,NaN,NaN,NaN,NaN,11634.3,12156.3,546.7,569.6,169058,161701.72,227706,216788.28,-58648,-55086.56,3044.83,2910.97,4101.11,3902.65,-1056.28,-991.68,7944.64,7576.85,10700.72,10158.04,-2756.08,-2581.19,66978,57978.23,72000,70216.03,4845,4807.87,4537,4190.1,22846,25222.28,6700,6610.21,27000,26956.66,22800,20806.9,-31648,-28129.9,29.41,26.74,31.62,32.39,2.13,2.22,1.99,1.93,10.03,11.63,2.94,3.05,11.86,12.43,10.01,9.6,12.06,10.44,12.97,12.64,0.87,0.87,0.82,0.75,4.11,4.54,1.21,1.19,4.86,4.85,4.11,3.75
Maharashtra,21,24879,24462,22001,21695,377.7,377.4,24.8,22.759999999999998,22.200000000000003,23.0,4251,4363,430,420,24486.309999999998,24043.879999999997,2.09,2.38,0.04,0.07,159255,152513,33.39,35.1,146.67,145.12,937.52,971.0699999999999,15.719999999999999,16.37,1139211.9,1124228.7,674748.8,694594.4,191.39999999999998,196.3,44427.350000000006,46247.94,3068.0,3388.3,894472.3,822518.4199999999,1044391.6299999999,938928.9,-149919.33,-116410.48,24019.97,22126.980000000003,31647.21,27686.460000000003,-7627.25,-5559.49,42297.11,40591.490000000005,54605.869999999995,49649.42999999999,-12308.77,-9057.93,463593.95,423801.02999999997,320734.69,262361.51,23775.749999999996,21892.170000000002,24246.1,22946.67,12253.99,16935.95,49406.82000000001,48792.78,104625.29,95155.09000000001,45755.03999999999,47043.700000000004,-42581.35,-18669.69,244.84,241.39,133.11,129.08,9.59,10.910000000000002,27.19,24.369999999999997,7.02,9.8,20.900000000000002,25.29,19.68,20.47,37.69,38.66,162.95999999999998,139.24,80.39,68.35,5.630000000000001,5.74,16.38,12.620000000000001,5.53,7.050000000000001,11.4,12.71,8.81,8.24,25.35,22.91
Meghalaya,23,65,52,40,26,61.5,50,8,9,63,65,0,1,0,0,21.2,16.2,0,0.06,0,0,276,288,4.25,5.54,20.99,15.42,89.15,85.41,4.57,3.63,696.3,534.9,394.2,274.8,63.9,52,3.7,2.7,15.6,14.4,835.19,1059.36,1208.19,1401.2,-373,-341.84,3948.89,6535.23,5712.48,8644.05,-1763.59,-2108.82,3520.3,5581.45,5092.48,7382.51,-1572.18,-1801.05,846.39,1060.24,209.2,173.8,14.96,17.85,12.3,18.37,NaN,NaN,66.23,49.8,8.93,35.99,50.18,45.15,-364.07,-305.85,70.05,75.67,17.32,12.4,1.24,1.27,1.02,1.31,NaN,NaN,5.48,3.55,0.74,2.57,4.15,3.22,40.02,65.41,9.89,10.72,0.71,1.1,0.58,1.13,NaN,NaN,3.13,3.07,0.42,2.22,2.37,2.79
Mizoram,24,34,34,16,19,47.1,55.9,5.2,4.3,5.9,0,0,0,0,0,6.5,7.1,0,0,0,0,418,418,12.29,12.29,4.28,4.67,52.62,57.45,3,3.2,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,3.6,4.3,170.52,194.6,2402.36,1890.14,-2231.84,-1695.54,2611.33,2729.31,36789.59,26509.68,-34178.25,-23780.36,1374.05,1568.09,19358.26,15230.78,-17984.21,-13662.69,2172.98,1728.1,128.84,94.63,39.78,36.65,60.74,30.74,0,0,0,0,0.02,0.02,0,0,-2231.82,-1695.52,90.45,91.43,5.36,5.01,1.66,1.94,2.53,1.63,0,0,0,0,0,0,0,0,332.77,242.37,19.73,13.27,6.09,5.14,9.3,4.31,0,0,0,0,0,0,0,0
Nagaland,25,213,233,123,114,57.7,48.9,5.5,5.5,44.8,52.9,0,6,0,3,59.7,58,0,0.1,0,0.05,1050,1050,4.93,4.51,15.56,15.13,76.73,68.2,3.78,3.75,NaN,NaN,NaN,NaN,NaN,NaN,15,15,19.3,17.6,1225,1137,5051,4468,-3826,-3331,2053.65,1960.34,8467.73,7703.45,-6414.08,-5743.1,1575.66,1336.94,6496.88,5253.69,-4921.22,-3916.75,3298,2934,802,672,239,159,259,267,NaN,NaN,377,372,42,42,34,22,-3784,-3289,65.29,65.67,15.88,15.04,4.73,3.56,5.13,5.98,NaN,NaN,7.46,8.33,0.83,0.94,0.67,0.49,55.29,50.59,13.45,11.59,4.01,2.74,4.34,4.6,NaN,NaN,6.32,6.41,0.7,0.72,0.57,0.38
Odisha,26,422,376,299,294,70.9,78.2,4.4,4.6,5,11,26,46,NaN,NaN,291.4,320.5,0.09,0.14,NaN,NaN,697,770,1.65,2.05,114.55,114.05,189.2,233.55,4.66,4.59,NaN,NaN,NaN,NaN,NaN,NaN,54.8,57.2,35.6,41.7,7792.26,7643.57,7810.59,6923.1,-18.33,720.47,2673.8,2384.67,2680.09,2159.89,-6.29,224.77,5058.92,5569.49,5070.82,5044.52,-11.9,524.97,1889.16,1329.41,3725.93,3504.09,394.35,432.33,345.55,348.42,111,111,667.92,574.93,367.53,365.77,309.15,257.15,349.2,1086.24,24.19,19.2,47.7,50.61,5.05,6.24,4.42,5.03,1.42,1.6,8.55,8.3,4.71,5.28,3.96,3.71,6.48,4.15,12.78,10.93,1.35,1.35,1.19,1.09,0.38,0.35,2.29,1.79,1.26,1.14,1.06,0.8
Punjab,28,2640,2908,2517,2787,287.6,287.7,22,22,96.7,118.7,195,204,34,45,2665.24,2885.19,0.2,0.19,0.04,0.04,10962,11910,16.59,13.46,236.07000000000002,242.17999999999998,788.09,774.97,13.45,13.52,95959.63999999998,106168.82,57897.04,62972.090000000004,231.2,217.40000000000003,1671.8,1624.3,539.1,426.1,84800.75,88218.57,95977.5,89859.79000000001,-11176.75,-1641.2199999999993,9694.11,9458.35,12832.529999999999,10847.84,-3138.41,-1389.5,25405.800000000003,23969.04,32014.42,25481.66,-6608.62,-1512.62,39985.75,36321.45,32304.05,29335.300000000003,1805.0299999999997,1912.0,1313.23,1442.5,1229.3300000000002,1477.12,2247.31,2721.25,11390.21,10793.86,5702.59,5856.31,213.45999999999913,9152.640000000001,137.07,132.01,95.2,93.2,5.319999999999999,6.05,3.92,4.66,3.51,4.630000000000001,6.16,8.129999999999999,33.93,34.28,14.91,17.060000000000002,67.14,54.370000000000005,36.28,30.509999999999998,1.92,1.92,1.43,1.54,1.42,1.61,1.99,2.23,12.6,10.82,5.539999999999999,5.47
Rajasthan,29,4674,4480,4202,4075,89.9,91,3.7,4.1,10.5,15.2,488,390,168,149,5995.8,8904.2,0.08,0.04,0.03,0.02,21384,19822,4.58,4.42,76.82,123.07,351.45,544.53,4.93,4.93,299790.5,295211.5,222144.76,211371.43,74.1,71.6,3466,3129.1,203.2,191.4,162122.69,144331.97,194564.63,177995.9,-32441.94,-64840.65,2703.93,1620.94,3245.01,1999,-541.08,-728.2,9503.03,8826.56,11404.66,10885.27,-1901.63,-3965.3,71534.68,74224.42,64698.93,51885.11,4623.28,4504.64,2267.5,2343.52,7685.05,6920.59,6212.57,4157.55,14929.48,14422.53,22613.14,19537.54,-17512.46,-50418.12,36.77,41.7,33.25,29.15,2.38,2.53,1.17,1.32,3.95,3.89,3.19,2.34,7.67,8.1,11.62,10.98,11.93,8.34,10.79,5.83,0.77,0.51,0.38,0.26,1.28,0.78,1.04,0.47,2.49,1.62,3.77,2.19
Sikkim,30,97,95,86,47,88.7,49.5,6.7,7,24,31,0,0,0,0,18.8,17.9,0,0,0,0,774,870,7.98,9.16,6.67,5.63,53.18,51.59,3.3,4.28,623,555,375,441,60.2,79.5,12.8,13.1,36.2,37.9,3410,2901,3908,3661,-498,-760,18109.4,16215.76,20754.12,20463.95,-2644.72,-4248.18,9631.41,8366.26,11037.99,10558.04,-1406.58,-2191.78,3054,2715,588,530,91,40,119,100,0,0,0,0,56,56,0,220,-442,-704,78.15,74.16,15.05,14.48,2.33,1.09,3.05,2.73,0,0,0,0,1.43,1.53,0,6.01,162.19,151.76,31.23,29.63,4.83,2.24,6.32,5.59,0,0,0,0,2.97,3.13,0,12.3
